CODIGO	DESCRIPCION	PAIS
101	BURKINA FASO	BURKINA FASO
102	ARGELIA	ARGELIA
103	BOTSWANA	BOTSWANA
104	BURUNDI	BURUNDI
105	CAMERUN	CAMERUN
107	REP. CENTROAFRICANA.	REP. CENTROAFRICANA.
108	CONGO	CONGO
109	REP. DEMOCRAT.DEL CONGO EX ZAIRE	REP. DEMOCRAT.DEL CONGO EX ZAIRE
110	COSTA DE MARFIL	COSTA DE MARFIL
111	CHAD	CHAD
112	BENIN	BENIN
113	EGIPTO	EGIPTO
115	GABON	GABON
116	GAMBIA	GAMBIA
117	GHANA	GHANA
118	GUINEA	GUINEA
119	GUINEA ECUATORIAL	GUINEA ECUATORIAL
120	KENYA	KENYA
121	LESOTHO	LESOTHO
122	LIBERIA	LIBERIA
123	LIBIA	LIBIA
124	MADAGASCAR	MADAGASCAR
125	MALAWI	MALAWI
126	MALI	MALI
127	MARRUECOS	MARRUECOS
128	MAURICIO	MAURICIO
129	MAURITANIA	MAURITANIA
130	NIGER	NIGER
131	NIGERIA	NIGERIA
132	ZIMBABWE	ZIMBABWE
133	RWANDA	RWANDA
134	SENEGAL	SENEGAL
135	SIERRA LEONA	SIERRA LEONA
136	SOMALIA	SOMALIA
137	SWAZILANDIA	SWAZILANDIA
139	TANZANIA	TANZANIA
140	TOGO	TOGO
141	TUNEZ	TUNEZ
142	UGANDA	UGANDA
144	ZAMBIA	ZAMBIA
145	TERRIT.VINCULADOS AL R UNIDO	TERRIT.VINCULADOS AL R UNIDO
146	TERRIT.VINCULADOS A ESPAÑA	TERRIT.VINCULADOS A ESPAÑA
147	TERRIT.VINCULADOS A FRANCIA	TERRIT.VINCULADOS A FRANCIA
149	ANGOLA	ANGOLA
150	CABO VERDE	CABO VERDE
151	MOZAMBIQUE	MOZAMBIQUE
152	SEYCHELLES	SEYCHELLES
153	DJIBOUTI	DJIBOUTI
155	COMORAS	COMORAS
156	GUINEA BISSAU	GUINEA BISSAU
157	STO.TOME Y PRINCIPE	STO.TOME Y PRINCIPE
158	NAMIBIA	NAMIBIA
159	SUDAFRICA	SUDAFRICA
160	ERITREA	ERITREA
161	ETIOPIA	ETIOPIA
162	SUDAN	SUDAN
163	SUDAN DEL SUR	SUDAN DEL SUR
197	RESTO (AFRICA)	RESTO (AFRICA)
198	INDETERMINADO (AFRICA)	INDETERMINADO (AFRICA)
200	ARGENTINA	ARGENTINA
201	BARBADOS	BARBADOS
202	BOLIVIA	BOLIVIA
203	BRASIL	BRASIL
204	CANADA	CANADA
205	COLOMBIA	COLOMBIA
206	COSTA RICA	COSTA RICA
207	CUBA	CUBA
208	CHILE	CHILE
209	REPÚBLICA DOMINICANA	REPÚBLICA DOMINICANA
210	ECUADOR	ECUADOR
211	EL SALVADOR	EL SALVADOR
212	ESTADOS UNIDOS	ESTADOS UNIDOS
213	GUATEMALA	GUATEMALA
214	GUYANA	GUYANA
215	HAITI	HAITI
216	HONDURAS	HONDURAS
217	JAMAICA	JAMAICA
218	MEXICO	MEXICO
219	NICARAGUA	NICARAGUA
220	PANAMA	PANAMA
221	PARAGUAY	PARAGUAY
222	PERU	PERU
223	PUERTO RICO	PUERTO RICO
224	TRINIDAD Y TOBAGO	TRINIDAD Y TOBAGO
225	URUGUAY	URUGUAY
226	VENEZUELA	VENEZUELA
227	TERRIT.VINCULADO AL R.UNIDO	TERRIT.VINCULADO AL R.UNIDO
228	TER.VINCULADOS A DINAMARCA	TER.VINCULADOS A DINAMARCA
229	TERRIT.VINCULADOS A FRANCIA AMERIC.	TERRIT.VINCULADOS A FRANCIA AMERIC.
230	TERRIT. HOLANDESES	TERRIT. HOLANDESES
231	TER.VINCULADOS A ESTADOS UNIDOS	TER.VINCULADOS A ESTADOS UNIDOS
232	SURINAME	SURINAME
233	DOMINICA	DOMINICA
234	SANTA LUCIA	SANTA LUCIA
235	SAN VICENTE Y LAS GRANADINAS	SAN VICENTE Y LAS GRANADINAS
236	BELICE	BELICE
237	ANTIGUA Y BARBUDA	ANTIGUA Y BARBUDA
238	S.CRISTOBAL Y NEVIS	S.CRISTOBAL Y NEVIS
239	BAHAMAS	BAHAMAS
240	GRANADA	GRANADA
241	ANTILLAS HOLANDESAS	ANTILLAS HOLANDESAS
242	ARUBA	ARUBA
243	BONAIRE	BONAIRE
244	CURAZAO	CURAZAO
245	SAN MARTIN (PARTE HOLANDESA)	SAN MARTIN (PARTE HOLANDESA)
250	AAE Tierra del Fuego - ARGENTINA	ARGENTINA
251	ZF La Plata - ARGENTINA	ARGENTINA
252	ZF Justo Daract - ARGENTINA	ARGENTINA
253	ZF Río Gallegos - ARGENTINA	ARGENTINA
254	ISLAS MALVINAS - ARGENTINA	ARGENTINA
255	ZF Tucumán - ARGENTINA	ARGENTINA
256	ZF Córdoba - ARGENTINA	ARGENTINA
257	ZF Mendoza - ARGENTINA	ARGENTINA
258	ZF General Pico - ARGENTINA	ARGENTINA
259	ZF Comodoro Rivadavia - ARGENTINA	ARGENTINA
260	ZF Iquique	CHILE
261	ZF Punta Arenas	CHILE
262	ZF Salta - ARGENTINA	ARGENTINA
263	ZF Paso de los Libres - ARGENTINA	ARGENTINA
264	ZF Puerto Iguazú - ARGENTINA	ARGENTINA
265	SECTOR ANTARTICO ARG.	ARGENTINA
