Codigo	Descripción
00	SIN DESCRIPCION
01	KILOGRAMO
02	METROS
03	METRO CUADRADO
04	METRO CUBICO
05	LITROS
06	1000 KILOWATT HORA
07	UNIDAD
08	PAR
09	DOCENA
10	QUILATE
11	MILLAR
12	MEGA U. INTER. ACT. ANTIB
13	UNIDAD INT. ACT. INMUNG
14	GRAMO
15	MILIMETRO
16	MILIMETRO CUBICO
17	KILOMETRO
18	HECTOLITRO
19	MEGA UNIDAD INT. ACT. INMUNG
20	CENTIMETRO
21	KILOGRAMO ACTIVO
22	GRAMO ACTIVO
23	GRAMO BASE
24	UIACTHOR
25	JGO.PQT. MAZO NAIPES
26	MUIACTHOR
27	CENTIMETRO CUBICO
28	UIACTANT
29	TONELADA
30	DECAMETRO CUBICO
31	HECTOMETRO CUBICO
32	KILOMETRO CUBICO
33	MICROGRAMO
34	NANOGRAMO
35	PICOGRAMO
36	MUIACTANT
37	UIACTIG
41	MILIGRAMO
47	MILILITRO
48	CURIE
49	MILICURIE
50	MICROCURIE
51	U.INTER. ACT. HORMONAL
52	MEGA U. INTER. ACT. HOR.
53	KILOGRAMO BASE
54	GRUESA
55	MUIACTIG
61	KILOGRAMO BRUTO
62	PACK
63	HORMA
97	SEÑAS/ANTICIPOS
98	OTRAS UNIDADES
99	BONIFICACION
